Product Template,BoM Type,Quantity,Product,Product Quantity
16V6,normal,1,700-TB16C,1
16V6,normal,1,700-TBL16,1
16V6,normal,1,COR183,1
16V6,normal,1,ELC232,2
16V6,normal,1,FUSE101,1
16V6,normal,1,FUSE3,1
16V6,normal,1,NUT3220,1
16V6,normal,1,SCW2435,6
16V6,normal,1,SCW3220,1
16V6,normal,1,SW01,1
16V6,normal,1,SW32A,1
16V6,normal,1,SW32B,1
16V6,normal,1,TER452,1
16V6,normal,1,TRF8-16,1
16V6,normal,1,WIR6018BLK,4
1734-DI-REC,phantom,1,AV1734,1
1734-DI-REC,phantom,1,CBL2550M,4
1734-DI-REC,phantom,1,CIT2050A,4
1734-DI-REC,phantom,1,CKPRO,5
1734-DI-REC,phantom,1,CON6MU2,2
1734-DI-REC,phantom,1,COR183A,6
1734-DI-REC,phantom,1,IND400V3,1
1734-DI-REC,phantom,1,LT350,4
1734-DI-REC,phantom,1,MON17D,1
1734-DI-REC,phantom,1,MON17T,6
1734-DI-REC,phantom,1,MONLCD12,3
1734-DI-REC,phantom,1,MONPSHC,5
1734-DI-REC,phantom,1,OMCCPU,1
1734-DI-REC,phantom,1,OMCPOSHDWR,1
1734-DI-REC,phantom,1,OMCTS11,2
1734-DI-REC,phantom,1,PB3206RJV2,1
1734-DI-REC,phantom,1,PC-E3V2,1
1734-DI-REC,phantom,1,PCA108,1
1734-DI-REC,phantom,1,PCA10925,2
1734-DI-REC,phantom,1,PCA531,1
1734-DI-REC,phantom,1,PIP,1
1734-DI-REC,phantom,1,PS30U120,6
1734-DI-REC,phantom,1,RM1301,2
1734-DI-REC,phantom,1,SMP100,1
1734-DI-REC,phantom,1,SMP246-U,5
1734-DI-REC,phantom,1,SMP262,1
1734-DI-REC,phantom,1,TMB500,3
1734-DI-REC,phantom,1,TRF30MB,1
1734-DI-REC,phantom,1,WBR100,1
1734-DI-REC,phantom,1,WIR100,500
1734-DI-REC,phantom,1,WIR200,700
1734-DI-REC,phantom,1,WIR500GRAY,1000
1734-DI-REC,phantom,1,TEWQ8,1
