StockCode,Warehouse,OnHand
1734-RS,WH/Stock/Tech Stock,4
1734APCADAP,WH/Stock/Final Finished Goods,55
1734APCKIT,WH/Stock/Final Finished Goods,10
1734ETX2,WH/Stock/Final Finished Goods,1
1734ETX2R,WH/Stock/Final Finished Goods,3
3MG5BC,WH/Stock/Final Finished Goods,2
3MG5CP,WH/Stock/Final Finished Goods,2
3MG5HE,WH/Stock/Final Finished Goods,6
3MG5MIC,WH/Stock/Final Finished Goods,5
3MG5SPK,WH/Stock/Final Finished Goods,11
3MLOOP100XT,WH/Stock/Final Finished Goods,1
3MWIR475A,WH/Stock/Final Finished Goods,1080
48X54BT,WH/Stock/Raw Materials,6
48X54FS,WH/Stock/Raw Materials,14
48X54T2FS,WH/Stock/Raw Materials,5
48X54WBT,WH/Stock/General Assembly,4
600-ANWSH,WH/Stock/General Assembly,9
600-AVT,WH/Stock/Tech Stock,9
600-BMP100,WH/Stock/Final Finished Goods,9
600-DT9200,WH/Stock/Sheet Metal,221
600-DT9200X,WH/Stock/Sheet Metal,21
600-DTSW100,WH/Stock/Tech Stock,13
600-LCY,WH/Stock/Tech Stock,2
600-MIC123,WH/Stock/General Assembly,5
600-PIMH,WH/Stock/Tech Stock,65
600-QVABS120,WH/Stock/General Assembly,6
600-S2KD1200,WH/Stock/General Assembly,6
700-16SPBB,WH/Stock/Welding,18
700-16SPBBK,WH/Stock/Raw Materials,14
700-16SPBBODY,WH/Stock/Raw Materials,1
700-16SPBBODY,WH/Stock/Welding,7
700-16SPBC,WH/Stock/Welding,2
700-16SPBT,WH/Stock/Welding,1
700-1734-1,WH/Stock/Welding,16
700-1734-3,WH/Stock/Welding,2
700-1734-4,WH/Stock/Welding,27
700-1734-5,WH/Stock/Welding,20
700-1734-7,WH/Stock/Welding,27
700-1734-CSW,WH/Stock/Raw Materials,16
700-1PANELDT-1,WH/Stock/General Assembly,124
700-20X24SLIM-1,WH/Stock/Raw Materials,1
700-20X24SLIM-2,WH/Stock/Raw Materials,6
700-20X24SLIM-3,WH/Stock/Raw Materials,1
700-20X27SLIM-1,WH/Stock/Raw Materials,34
700-20X27SLIM-2,WH/Stock/Raw Materials,90
700-211-7,WH/Stock/Raw Materials,26
700-211-7CHICK,WH/Stock/Raw Materials,50
700-211-8U,WH/Stock/Welding,19
700-211S-3,WH/Stock/Raw Materials,95
700-211S-8,WH/Stock/Welding,8
700-24MAGSIGN-2,WH/Stock/Welding,41
700-24MAGSIGN-3,WH/Stock/Welding,58
700-24MAGSIGN-4L,WH/Stock/Welding,36
700-24MAGSIGN-4R,WH/Stock/Welding,29
700-24X36SLIM-1,WH/Stock/Raw Materials,2
700-24X36SLIM-2,WH/Stock/Raw Materials,8
700-24X36SLIM-3,WH/Stock/Raw Materials,5
700-311-1LED,WH/Stock/Raw Materials,28
700-311-2LED,WH/Stock/Raw Materials,61
700-311-3LED,WH/Stock/Raw Materials,130
700-311-4LED,WH/Stock/Raw Materials,8
700-311F-1,WH/Stock/Welding,18
700-311F-1BM,WH/Stock/Welding,13
700-311F-3,WH/Stock/Welding,28
700-311F-4,WH/Stock/Welding,1
700-311F-5A,WH/Stock/Welding,65
700-311F-5B,WH/Stock/Welding,62
700-311F-6,WH/Stock/Welding,54
700-311F-7,WH/Stock/Raw Materials,14
700-311F-SWC,WH/Stock/Raw Materials,1
700-311S-1,WH/Stock/Raw Materials,3
700-311S-2,WH/Stock/Raw Materials,17
700-311S-4D,WH/Stock/Raw Materials,3
700-311S-4P,WH/Stock/Raw Materials,6
700-311S-6D,WH/Stock/Raw Materials,29
700-311S-6DREV,WH/Stock/Raw Materials,9
700-311S-6P,WH/Stock/Raw Materials,26
