StockCode,Warehouse,OnHand
XTAL245,WH/Stock/General Assembly B8 & B11,43.000000
XSLKCB34R,WH/Stock,1.000000
XSLKCB2R,WH/Stock/Welding B1&B5,8.000000
XSLKCB2,WH/Stock/Sheet Metal B6,4.000000
XSL49A,WH/Stock,34.000000
WM1.75,WH/Stock,106.000000
WM.75,WH/Stock,143.000000
WKOPTIMP,WH/Stock,2.000000
WKOPTIFP,WH/Stock,1.000000
WKOPTIBS3,WH/Stock/Welding B1&B5,1.000000
WKOPTIBS2,WH/Stock/Sheet Metal B6,1.000000
WKOPTIBS,WH/Stock,1.000000
WKEMI,WH/Stock/Welding B1&B5,2.000000
WKADQM,WH/Stock,2.000000
WK824,WH/Stock,5.000000
WIR916PUR,WH/Stock,1000.000000
WIR916G/Y,WH/Stock,6445.060000
WIR914GRN,WH/Stock,1000.000000
WIR912ORG,WH/Stock,500.000000
WIR9012WHT,WH/Stock/Welding B1&B5,5500.000000
WIR710,WH/Stock/Welding B1&B5,43.000000
WIR626YEL,WH/Stock,69.169000
WIR626RED,WH/Stock/Sheet Metal B6,69.169000
WIR626BLK,WH/Stock/Welding B1&B5,24.167000
WIR622RED,WH/Stock,1000.000000
WIR620YEL,WH/Stock/Sheet Metal B6,7714.000000
WIR620WHT,WH/Stock,27914.831000
WIR620RED,WH/Stock/Welding B1&B5,909.024000
WIR620PUR,WH/Stock/Sheet Metal B6,4000.000000
WIR620ORG,WH/Stock/Final Finished Goods B9,1545.444000
WIR620GRN,WH/Stock/Welding B1&B5,1990.003000
WIR620GRAY,Partner Locations/Vendors/Topps Powder Coat,997.660000
WIR620BRN,WH/Stock/Sheet Metal B6,97.166000
WIR620BLU,WH/Stock/Raw Materials B5,1733.000000
WIR620BLK,WH/Stock/Final Finished Goods B9,2114.670000
WIR6020GRN,WH/Stock/Sheet Metal B6,1000.000000
WIR6018YEL,WH/Stock/Final Finished Goods B9,4000.000000
WIR6018WHT,WH/Stock/Welding B1&B5,988.250000
WIR6018RED,Partner Locations/Vendors/Topps Powder Coat,1500.000000
WIR6018PUR,WH/Stock/Sheet Metal B6,1890.000000
WIR6018GRN,WH/Stock/Final Finished Goods B9,1756.350000
WIR6018GRAY,WH/Stock,4000.000000
WIR6018BRN,Partner Locations/Vendors/Topps Powder Coat,5000.000000
WIR6018BLU,WH/Stock/Sheet Metal B6,9000.000000
WIR6018BLK,WH/Stock/Final Finished Goods B9,1699.250000
WIR6016GRN,WH/Stock/Welding B1&B5,2000.000000
WIR500GRAY,WH/Stock/Welding B1&B5,5385.850000
WIR450A,WH/Stock/Welding B1&B5,245.000000
WIR400,WH/Stock/Raw Materials B5,344.000000
WIR300,WH/Stock/Welding B1&B5,150.000000
WIR200,WH/Stock/Raw Materials B5,10793.000000
WIR183SO,WH/Stock,288.000000
WIR11141,WH/Stock/Welding B1&B5,3.000000
WIR100,WH/Stock/Raw Materials B5,16250.000000
WEL2865,WH/Stock/Raw Materials B5,830.000000
WEL2845,WH/Stock/Final Finished Goods B9,1060.000000
WEL2840,WH/Stock,105.000000
WEL2710,WH/Stock/Raw Materials B5,436.000000
WEL2700,WH/Stock,3359.000000
WEL2680,WH/Stock/Sheet Metal B6,9.000000
WEL2660,WH/Stock,531.000000
WEL2640,WH/Stock,6400.000000
WEL2630,WH/Stock/Welding B1&B5,468.000000
WEL2525,WH/Stock,376.000000
WEL2520,WH/Stock/Welding B1&B5,934.000000
WEL2240,WH/Stock,420.000000
WB110A,WH/Stock,6618.000000
WB110,WH/Stock/Welding B1&B5,19.000000
WAS6600,WH/Stock/Sheet Metal B6,380.000000
WAS6420,WH/Stock,1291.000000
WAS5635,WH/Stock/Sheet Metal B6,1000.000000
WAS5630,WH/Stock,45.000000
WAS4620,WH/Stock,199.000000
WAS4420,WH/Stock/Welding B1&B5,6129.000000
WAS3640,WH/Stock/Sheet Metal B6,626.000000
WAS3635,WH/Stock,1442.000000
WAS3630,WH/Stock/Welding B1&B5,1027.000000
WAS3625,WH/Stock/Sheet Metal B6,699.000000
WAS3620,WH/Stock/Final Finished Goods B9,1569.000000
WAS3615,WH/Stock/General Assembly B8 & B11,460.000000
WAS3612,WH/Stock/Raw Materials B5,978.000000
WAS3610,WH/Stock/Final Finished Goods B9,425.000000
WAS3420,WH/Stock/Welding B1&B5,4217.000000
WAS3210,WH/Stock,500.000000
WAS3010,WH/Stock/Sheet Metal B6,997.000000
WAS2840,WH/Stock/General Assembly B8 & B11,97.000000
WAS2830,WH/Stock/General Assembly B8 & B11,54.000000
WAS2740,WH/Stock/Tech Stock B11,172.000000
WAS2730,WH/Stock/Tech Finished Goods,165.000000
WAS2680,WH/Stock/Sheet Metal B6,513.000000
WAS2620,WH/Stock/Raw Materials B5,210.000000
WAS2610,WH/Stock,2865.000000
WAS1210,WH/Stock/Sheet Metal B6,498.000000
WAS1000,WH/Stock,95.000000
VIEW3025,WH/Stock/Raw Materials B5,4.000000
VIEW1500FR,WH/Stock,1.000000
VG1,WH/Stock/Sheet Metal B6,16.000000
VESABRK,WH/Stock,60.000000
VENT100,WH/Stock,11.000000
VCHANNELS,WH/Stock/Welding B1&B5,17.000000
VALUPVP,WH/Stock/Sheet Metal B6,4.000000
UV500,WH/Stock,58.000000
UV400,WH/Stock/Welding B1&B5,17.000000
UV200,WH/Stock,22.000000
ULCD500,WH/Stock/Welding B1&B5,26.000000
TSSBD3,WH/Stock,23.000000
TSSBD,WH/Stock/Welding B1&B5,15.000000
TRF30MB,WH/Stock/General Assembly B8 & B11,5.000000
TRF30,WH/Stock/Sheet Metal B6,8.000000
TRF09D,WH/Stock,64.000000
TR250,WH/Stock/Welding B1&B5,823.000000
TR230,WH/Stock/Sheet Metal B6,29.000000
TR225,WH/Stock,66.000000
TR210,WH/Stock,97.000000
TR190,WH/Stock/Welding B1&B5,40.000000
TR170,WH/Stock/Sheet Metal B6,198.000000
TR155,WH/Stock,263.000000
TR150,WH/Stock/General Assembly B8 & B11,17.000000
TR122A,WH/Stock,45.000000
TP-S-6A6A,WH/Stock,41.000000
TOP9000,WH/Stock/Welding B1&B5,30.000000
TOP5006,WH/Stock,1.000000
TOP3006,WH/Stock/General Assembly B8 & B11,3.000000
TOP3003,WH/Stock/Sheet Metal B6,1.000000
TOP1003,WH/Stock,10.000000
TMB500,WH/Stock/Welding B1&B5,20.000000
TL130,WH/Stock/Final Finished Goods B9,30.000000
TER901A,WH/Stock/Final Finished Goods B9,2592.000000
TER805,WH/Stock/Welding B1&B5,950.000000
TER800,WH/Stock/Raw Materials B5,800.000000
TER72B,WH/Stock,683.000000
TER71B,WH/Stock,717.000000
TER695A,WH/Stock,743.000000
TER694,WH/Stock/General Assembly B8 & B11,14.000000
TER690,WH/Stock/Welding B1&B5,2794.000000
TER634,WH/Stock/Sheet Metal B6,541.000000
TER553,WH/Stock/Raw Materials B5,186.000000
TER452,WH/Stock/Sheet Metal B6,40.000000
TER422,WH/Stock,253.000000
TER273,WH/Stock/Welding B1&B5,226.000000
TER211,WH/Stock/Sheet Metal B6,3872.000000
TER210,WH/Stock,383.000000
TER192A,WH/Stock,3192.000000
TER192,WH/Stock/Welding B1&B5,1971.000000
TER187,WH/Stock/Sheet Metal B6,2164.000000
TER1610,WH/Stock/Raw Materials B5,679.000000
TER150,WH/Stock,1858.000000
TER115,WH/Stock/Final Finished Goods B9,536.000000
TER101,WH/Stock/Welding B1&B5,126.000000
TER-B,WH/Stock/Sheet Metal B6,485.000000
TEL175,WH/Stock/Welding B1&B5,9.000000
TEL123,WH/Stock,16.000000
TEL108,WH/Stock,15.000000
TEL106,WH/Stock,3.000000
TBWDFT,WH/Stock,61.000000
SWCCTYG,WH/Stock,2.000000
SWCCTFR,WH/Stock/Sheet Metal B6,2.000000
SWCCTBT,WH/Stock/Welding B1&B5,4.000000
SWCCTBN,WH/Stock,33.000000
SWBD1900,WH/Stock/Welding B1&B5,25.000000
SWBD1300,WH/Stock/Sheet Metal B6,8.000000
SW841,WH/Stock/General Assembly B8 & B11,33.000000
SW730,WH/Stock/Sheet Metal B6,2.000000
SW692,WH/Stock/Final Finished Goods B9,59.000000
SW660,WH/Stock,10.000000
SW59A,WH/Stock/Welding B1&B5,7.000000
SW59,WH/Stock/Welding B1&B5,20.000000
SW54420,WH/Stock/Welding B1&B5,113.000000
SW4LDB,WH/Stock/Sheet Metal B6,36.000000
SW4LA,WH/Stock/Welding B1&B5,417.000000
SW4L,WH/Stock/Welding B1&B5,237.000000
SW49A,WH/Stock/Sheet Metal B6,5.000000
SW49,WH/Stock,10.000000
SW383B,WH/Stock/Sheet Metal B6,988.000000
SW383A,WH/Stock,1753.000000
SW383,WH/Stock/Welding B1&B5,888.000000
SW32C,WH/Stock/Sheet Metal B6,355.000000
SW32B,WH/Stock,187.000000
SW32A,WH/Stock/Welding B1&B5,216.000000
SW32,WH/Stock/Sheet Metal B6,69.000000
SW2125,WH/Stock,16.000000
SW201,WH/Stock/Welding B1&B5,20.000000
SW185A,WH/Stock/Welding B1&B5,129.000000
SW185,WH/Stock/Sheet Metal B6,6.000000
SW1101,WH/Stock/Welding B1&B5,4.000000
SW090,WH/Stock,4.000000
SW08,WH/Stock/Welding B1&B5,6.000000
SW06,WH/Stock/Sheet Metal B6,10.000000
SW01,WH/Stock,52.000000
SW-DB,WH/Stock,310.000000
SW-CCT,WH/Stock,75.000000
SUBDT2BP,WH/Stock,4.000000
